epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,9835.06,0.59848,0.26073,0.00161,0.48658,0.34904,0.35577,0.19153,2.02325,1.97968,0.0094,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,10034.2,0.59776,0.26103,0.00161,0.47225,0.35485,0.34396,0.18501,2.01563,1.97283,0.0093,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,10233,0.59333,0.25906,0.00161,0.48261,0.35068,0.34511,0.18585,2.01162,2.00503,0.00927,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,10432.3,0.59152,0.25678,0.00159,0.47506,0.34677,0.34846,0.18758,2.01504,1.99511,0.00931,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,10632.4,0.59066,0.2567,0.00158,0.4736,0.35579,0.35356,0.19071,2.02164,1.98859,0.00938,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,10832.1,0.59119,0.26045,0.00158,0.48633,0.35691,0.3481,0.18826,2.03094,2.01416,0.00939,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,11031.4,0.58813,0.25522,0.0016,0.48254,0.35486,0.34984,0.18995,2.02538,2.0035,0.00935,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,11231.2,0.58709,0.25131,0.00159,0.50033,0.35816,0.35865,0.19534,2.02449,2.03599,0.00931,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,11430.9,0.58675,0.25333,0.00159,0.49794,0.35915,0.35646,0.19474,2.01339,2.04238,0.00924,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,11631.1,0.58362,0.2495,0.00157,0.50408,0.36382,0.36061,0.19788,2.01805,2.00083,0.00932,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,11830.5,0.58431,0.25112,0.00158,0.50994,0.36217,0.36347,0.19936,2.02089,2.00125,0.00934,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,12030.7,0.58452,0.25064,0.00157,0.51382,0.36269,0.36352,0.19765,2.02944,1.99781,0.00944,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,12230.6,0.58172,0.24951,0.00157,0.52626,0.3795,0.36702,0.19985,2.02494,1.98617,0.00944,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,12430.4,0.58082,0.24761,0.00157,0.53509,0.38716,0.37033,0.2021,2.02268,1.98506,0.00946,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,12630.2,0.58359,0.24908,0.00156,0.53375,0.38486,0.374,0.2033,2.02382,1.9984,0.00944,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,12829.4,0.57995,0.24642,0.00155,0.53091,0.38439,0.37519,0.20394,2.0256,2.00556,0.00945,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,13029.3,0.57808,0.24682,0.00155,0.53074,0.38355,0.37581,0.20482,2.03134,2.02587,0.00945,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,13228.5,0.57972,0.24657,0.00155,0.52541,0.37941,0.37288,0.20355,2.0363,2.05171,0.00946,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,13427.5,0.57816,0.24519,0.00156,0.52796,0.37758,0.37569,0.20567,2.03894,2.05824,0.00947,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,13627.2,0.57707,0.24442,0.00155,0.52613,0.37654,0.37502,0.20552,2.03739,2.05077,0.00946,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,13827.3,0.57826,0.24465,0.00154,0.5129,0.37465,0.37161,0.20322,2.03441,2.05987,0.00943,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
